place_name;category;rating;latitude;longitude;source;main_category
روشن كافيه | Roshen Speciality Coffee;cafe;4.3;24.752917;46.6744953;cafes;cafe
IV speciality cafe;cafe;4.3;24.6830634;46.7871639;cafes;cafe
OBA ALI MAWJOOD;cafe;5;24.7053651;46.7438947;cafes;cafe
LevelUp;cafe;4.1;24.7663909;46.7543001;cafes;cafe
شاهي ام حمد;cafe;5;24.7937539;46.7940602;cafes;cafe
ديوانية نادر الكيف;cafe;4.2;24.8568016;46.8333872;cafes;cafe
McCafe;cafe;3.7;24.7752372;46.6177508;cafes;cafe
قطرة مختصة;cafe;4.3;24.653327;46.5786306;cafes;cafe
Segafredo Zanetti Espresso;cafe;5;24.686147;46.7751188;cafes;cafe
كنفندي;cafe;3.4;24.783466;46.7302549;cafes;cafe
وكف سمة - WACAFE Sima;cafe;4.2;24.6879375;46.6648125;cafes;cafe
Coffee Line خط القهوة;cafe;3.5;24.5736378;46.6631747;cafes;cafe
مقهى المدرب;cafe;4.1;24.6074519;46.7038888;cafes;cafe
N5 Caffe Head Office;cafe;5;24.6657276;46.6999608;cafes;cafe
Ghwan Cafe;cafe;3.9;24.7176949;46.8033848;cafes;cafe
MANJANOON;cafe;3.9;24.7530244;46.7268373;cafes;cafe
ماما بنز كافيه | MammaBunz Cafe;cafe;4;24.5584375;46.6375625;cafes;cafe
مقهى صكه CAFE DACA;cafe;5;24.654084;46.5748714;cafes;cafe
Dunkin' Donuts (دانكن دونات);cafe;3.5;24.5731518;46.6348664;cafes;cafe
arabica coffee;cafe;4;24.7411108;46.8052091;cafes;cafe
Paisano’s cafe بيزانو كافيه;cafe;3.4;24.8138219;46.7079653;cafes;cafe
DRAFT Cafe درافت كافيه;cafe;3.6;24.6818062;46.7080303;cafes;cafe
Snob;cafe;4.9;24.8544523;46.7357088;cafes;cafe
Starbucks;cafe;4;24.7727919;46.654981;cafes;cafe
دان كافيه DAN CAFE;cafe;4.7;24.8295965;46.7343678;cafes;cafe
CANDOUR CAFE كان دور كافية ️;cafe;4.8;24.6836017;46.725673;cafes;cafe
ليتو كافيه L'ETO Cafe;cafe;3.6;24.77216;46.6755262;cafes;cafe
مقهئ;cafe;3;24.6515311;46.6897169;cafes;cafe
مؤسس;cafe;1;24.5864105;46.5867597;cafes;cafe
Beans Colors cafe - كافيه ألوان البن;cafe;4.8;24.6899314;46.7648979;cafes;cafe
ABELLA café;cafe;4.7;24.7318916;46.7536019;cafes;cafe
Moroccan Tea;cafe;4;24.6677316;46.7832784;cafes;cafe
ديوانية ملتقى الأذواق للقهوة;cafe;4;24.7540917;46.7448385;cafes;cafe
انجويد لاونج;cafe;4.9;24.800866;46.6010067;cafes;cafe
مون كافيه MOON CAFE;cafe;4;24.8081465;46.6951229;cafes;cafe
ارابيكا ستار;cafe;4.1;24.6851228;46.5734914;cafes;cafe
Starnight;cafe;4.1;24.7151677;46.7841981;cafes;cafe
WHJ CAFE;cafe;4.6;24.7463586;46.7633863;cafes;cafe
إيسبريتو;cafe;4.6;24.80053;46.6474428;cafes;cafe
Barn's | بارنز;cafe;4.2;24.8218597;46.7902639;cafes;cafe
